application_number,pto_adjustment,pto_delay,applicant_delay,patent_term_extension
08203300,0,1923,0,1923
08204441,0,1536,0,1536
08137086,0,1450,0,1450
08205502,0,644,0,644
08206405,0,1995,1995,0
08206658,0,0,0,0
08209204,0,0,0,0
08209689,0,51,0,51
08213433,0,1537,0,1537
08212175,0,1872,0,1872
08212185,0,0,0,0
08137189,0,1163,0,1163
08212818,0,1790,0,1790
08214018,0,2504,0,2504
08213427,0,1394,0,1394
08213964,0,0,0,0
08211157,0,1304,0,1304
08210381,0,0,0,0
08210454,0,0,0,0
08210902,0,4402,4402,0
08215062,0,933,933,0
08157037,0,0,0,0
08216517,0,0,0,0
08216592,0,0,0,0
08216990,0,0,0,0
08216844,0,1816,0,1816
08217079,0,0,0,0
08217063,0,1880,0,1880
08217704,0,0,0,0
08218495,0,0,0,0
08218647,0,1911,0,1911
08219200,0,1443,0,1443
08219317,0,1664,0,1664
08221137,0,1461,0,1461
08221210,0,1764,0,1764
08222714,0,0,0,0
08224595,0,1110,0,1110
08223823,0,0,0,0
08225267,0,0,0,0
08225478,0,1899,1899,0
08225942,0,1887,0,1887
08226168,0,0,0,0
08226526,0,0,0,0
08227100,0,0,0,0
08227609,0,1791,0,1791
08227371,0,0,0,0
08227476,0,0,0,0
08227800,0,1490,0,1490
08227992,0,2535,0,2535
08229347,0,0,0,0
08232452,0,1564,0,1564
08232362,0,1967,0,1967
08234784,0,443,0,443
08235372,0,0,0,0
08235668,0,2243,0,2243
08236780,0,1523,0,1523
08245282,0,1649,0,1649
08236378,0,0,0,0
08236933,0,0,0,0
08238178,0,0,0,0
08238948,0,1505,0,1505
08238987,0,0,0,0
08239138,0,1444,0,1444
08236328,0,1681,0,1681
08241061,0,0,0,0
08241253,0,1508,0,1508
08241252,0,2378,0,2378
08241687,0,0,0,0
08242193,0,0,0,0
08242344,0,1214,0,1214
08243080,0,1534,0,1534
08245827,0,0,0,0
08246022,0,0,0,0
08246259,0,437,437,0
08246701,0,0,0,0
08182183,0,0,0,0
08247709,0,827,0,827
08248058,0,0,0,0
08248543,0,0,0,0
08250286,0,884,884,0
08250631,0,1671,0,1671
08250657,0,0,0,0
08250846,0,0,0,0
08250942,0,0,0,0
08251574,0,0,0,0
08211971,0,892,0,892
08252710,0,0,0,0
08252864,0,0,0,0
08252778,0,1551,1551,0
08253964,0,0,0,0
08253933,0,1642,0,1642
08254345,0,1160,0,1160
08255208,0,0,0,0
08257029,0,0,0,0
08257945,0,1253,0,1253
08258575,0,0,0,0
08259335,0,0,0,0
08259413,0,0,0,0
08259967,0,1609,0,1609
08259833,0,0,0,0
08260190,0,1221,1221,0
08260536,0,0,0,0
08261293,0,1754,0,1754
08261194,0,1013,1013,0
08261668,0,217,0,217
08261639,0,1472,0,1472
08261802,0,0,0,0
08261518,0,1519,0,1519
08261759,0,1750,0,1750
08261863,0,0,0,0
08262157,0,1796,0,1796
08204162,0,1451,0,1451
08265428,0,0,0,0
08265967,0,0,0,0
08266152,0,0,0,0
08268730,0,0,0,0
08269323,0,0,0,0
08269797,0,1552,0,1552
08265267,0,1795,0,1795
08269706,0,1558,0,1558
08269995,0,0,0,0
08270152,0,0,0,0
08268532,0,0,0,0
08272477,0,2086,0,2086
08272516,0,2006,4012,0
08256441,0,0,0,0
08274119,0,1791,0,1791
08275951,0,0,0,0
08277225,0,1017,0,1017
08277031,0,0,0,0
08278437,0,1468,0,1468
08278782,0,0,0,0
08278774,0,1407,0,1407
08279789,0,1061,0,1061
08280306,0,1823,0,1823
08281703,0,0,0,0
08281573,0,0,0,0
08282855,0,0,0,0
08283101,0,1108,0,1108
08283074,0,1827,0,1827
08283238,0,1311,0,1311
08283830,0,1810,0,1810
08284708,0,1756,0,1756
08284129,0,1552,0,1552
08284199,0,1577,1577,0
08256736,0,1862,0,1862
08285324,0,944,0,944
08286106,0,1635,0,1635
08286098,0,1332,0,1332
08285892,0,1856,0,1856
08285534,0,0,0,0
08137168,0,0,0,0
08286404,0,0,0,0
08286189,0,1253,0,1253
08286785,0,723,723,0
08288139,0,2174,0,2174
08288415,0,0,0,0
08288574,0,841,841,0
08288433,0,0,0,0
08288990,0,0,0,0
08289832,0,0,0,0
08290047,0,0,0,0
08290038,0,1234,0,1234
08291335,0,0,0,0
08291081,0,0,0,0
08292157,0,1575,0,1575
08211390,0,1784,0,1784
08292286,0,0,0,0
08309315,0,1646,1646,0
08293745,0,1478,1478,0
08294061,0,0,0,0
08294227,0,1624,0,1624
08294619,0,2000,0,2000
08295593,0,1709,0,1709
08296292,0,0,0,0
08295635,0,1264,0,1264
08297257,0,1340,0,1340
08297570,0,0,0,0
08299395,0,0,0,0
08301435,0,0,0,0
08300245,0,0,0,0
08300510,0,0,0,0
08301037,0,0,0,0
08301523,0,0,0,0
08301501,0,1980,0,1980
08302423,0,1676,0,1676
08303026,0,1810,0,1810
08309343,0,2696,0,2696
08303566,0,1843,0,1843
08303924,0,0,0,0
08302988,0,1747,0,1747
08304391,0,1597,0,1597
08304602,0,0,0,0
07978670,0,1217,0,1217
08305411,0,0,0,0
08305495,0,0,0,0
08305790,0,0,0,0
08277399,0,0,0,0
08307044,0,0,0,0
08311731,0,0,0,0
08308193,0,1086,0,1086
08308279,0,885,0,885
08308257,0,0,0,0
08308474,0,0,0,0
08308454,0,0,0,0
08308879,0,1922,0,1922
08309271,0,435,0,435
08309543,0,2107,0,2107
08309620,0,0,0,0
08309925,0,1732,0,1732
08310041,0,1739,0,1739
08310108,0,2134,0,2134
08310665,0,1425,0,1425
08310902,0,1970,0,1970
08310950,0,1873,0,1873
08311291,0,1530,0,1530
08311888,0,0,0,0
08311973,0,1214,0,1214
08312406,0,1846,0,1846
08312758,0,1667,0,1667
08313350,0,0,0,0
08313983,0,0,0,0
08307589,0,1221,0,1221
08313938,0,0,0,0
08314369,0,0,0,0
08314946,0,0,0,0
08315990,0,1177,0,1177
08316765,0,0,0,0
08313249,0,1018,0,1018
08317826,0,1944,1944,0
08317990,0,1011,0,1011
08318574,0,1599,0,1599
08319131,0,0,0,0
08319411,0,0,0,0
08319683,0,0,0,0
08318702,0,2302,2302,0
08321184,0,0,0,0
08321324,0,1109,0,1109
08321672,0,0,0,0
08322741,0,1646,0,1646
08323385,0,0,0,0
08324382,0,0,0,0
08324369,0,2303,0,2303
08324549,0,1582,0,1582
08324842,0,1713,0,1713
08325955,0,0,0,0
08244087,0,249,0,249
08326806,0,2249,0,2249
08326254,0,2094,0,2094
08326675,0,0,0,0
08327389,0,0,0,0
08327882,0,1547,0,1547
08328563,0,0,0,0
08328500,0,0,0,0
08329129,0,0,0,0
08329345,0,1723,1723,0
08329724,0,1555,0,1555
08330216,0,1359,0,1359
08331280,0,659,0,659
08331851,0,1421,1421,0
08332275,0,0,0,0
08333076,0,1502,0,1502
08333202,0,1311,0,1311
08334031,0,0,0,0
08333947,0,0,0,0
08334465,0,1535,0,1535
