application_number,parent_application_number,parent_filing_date,continuation_type
09269195,PCT/FR97/01716,1997-09-29,NST
09269044,PCT/US97/16682,1997-09-19,NST
09269310,PCT/US97/16819,1997-09-22,NST
09269652,PCT/DE97/02205,1997-09-25,NST
09254131,PCT/FR98/01473,1998-07-08,NST
09242653,PCT/CA97/00585,1997-08-20,NST
09284097,PCT/US97/19450,1997-10-24,NST
09269841,PCT/CA97/00713,1997-02-10,NST
09284681,PCT/IB97/01323,1997-10-16,NST
09284809,PCT/US98/17980,1998-08-27,NST
09284997,PCT/EP97/06322,1997-11-12,NST
09242618,PCT/NO97/00208,1997-08-19,NST
09269814,PCT/US97/17309,1997-10-01,NST
09284298,PCT/CU97/00005,1997-10-03,NST
09308623,PCT/EP90/02014,1990-11-23,NST
09297321,PCT/GB97/02819,1997-10-29,NST
09297805,PCT/GB97/03061,1997-11-07,NST
09308288,PCT/CH97/00406,1997-10-27,NST
09242360,PCT/DE97/01555,1997-07-23,NST
09253022,09159643,1998-09-24,CIP
09253022,08941223,1997-09-26,CIP
09308687,PCT/SE97/01959,1997-11-21,NST
09214899,PCT/GB97/01875,1997-07-11,NST
09297579,PCT/CH97/00417,1997-11-03,NST
09308704,PCT/US97/22013,1997-11-25,NST
09308765,PCT/GB97/03126,1997-11-21,NST
09308988,PCT/GB97/03204,1997-11-21,NST
09308795,PCT/US97/21421,1997-11-25,NST
09319098,PCT/GB97/03155,1997-11-17,NST
09319151,PCT/EP97/03633,1997-07-09,NST
09319420,PCT/EP97/06791,1997-12-03,NST
09319140,PCT/DE97/02775,1997-11-26,NST
09319408,PCT/GB97/03264,1997-12-05,NST
09331263,PCT/AU97/00859,1997-12-18,NST
09331363,PCT/GB97/03374,1997-12-19,NST
09230057,PCT/GB97/01553,1997-06-10,NST
09331337,PCT/US96/20630,1996-12-20,NST
09214096,PCT/CH97/00250,1997-06-25,NST
09341166,PCT/CH98/00390,1998-09-10,NST
09319869,PCT/IT96/00257,1996-12-18,NST
09331881,PCT/DE98/03040,1998-10-20,NST
09319830,PCT/FR97/02254,1997-12-10,NST
09331976,PCT/FR98/02329,1998-10-30,NST
09341182,PCT/KR98/00003,1998-01-10,NST
09331822,PCT/FR97/02380,1997-12-22,NST
09341974,PCT/GB98/00078,1998-01-20,NST
09331009,PCT/AU97/00857,1997-12-18,NST
09355103,PCT/EP98/00046,1998-01-07,NST
09341867,PCT/AT98/00009,1998-01-20,NST
09341593,PCT/US97/00693,1997-01-22,NST
09319390,PCT/US97/22405,1997-12-03,NST
09319390,60032149,1996-12-03,PRO
09355896,PCT/EP98/00672,1998-08-13,NST
09367237,PCT/US98/07022,1998-04-07,NST
09355321,PCT/EP98/00502,1998-01-30,NST
09355802,PCT/GB98/00358,1998-02-05,NST
09355899,PCT/GB98/00240,1998-02-05,NST
09355904,PCT/GB98/00238,1998-02-05,NST
09202489,PCT/GB97/01621,1997-06-16,NST
09194871,PCT/AU97/00352,1997-06-05,NST
09367304,PCT/SE98/00270,1998-02-16,NST
09194456,PCT/BR98/00022,1998-03-24,NST
