application_number,child_application_number,child_filing_date
04691676,06921268,1986-10-21
04691676,07930813,1992-08-14
04691676,07955515,1992-10-02
04691676,07628373,1990-12-17
04718691,90000144,1982-01-27
04689435,06840596,1986-03-17
04689435,90003253,1993-11-10
04689435,06301140,1981-09-11
04689435,07331001,1989-03-29
04710518,06712411,1985-03-15
04718088,90000061,1981-09-01
04719924,90001098,1986-09-24
04716547,05910564,1978-05-30
04720913,90000058,1981-08-20
04720913,90000060,1981-08-25
04725401,90002869,1992-10-29
04672457,05838211,1977-09-30
04672457,07352847,1989-05-16
04662457,05140541,1971-05-05
04728039,05559481,1975-03-18
04728039,06211063,1980-11-28
04663338,05391692,1973-08-27
04728933,90000047,1981-08-06
04727563,05908846,1978-05-23
04730530,90000145,1982-01-26
04730530,90000146,1982-01-26
04730790,06192410,1980-09-30
04715242,90000255,1982-09-09
04735199,05916261,1978-06-16
04735199,05916262,1978-06-16
04736081,05568615,1975-04-16
04736081,05648732,1976-01-13
04739836,90000646,1984-10-10
04659234,05677207,1976-04-15
04659234,05683435,1976-05-04
04659234,05695503,1976-06-11
04657531,06225812,1981-01-16
04732238,05852581,1977-11-17
04644035,05823611,1977-08-11
04644035,05840050,1977-10-06
04644035,90000253,1982-09-09
04644035,90000254,1982-09-09
04644035,90000336,1983-03-04
04644035,05869831,1978-01-16
04644035,90000263,1982-09-29
04644035,90000289,1982-11-17
04751616,06229101,1981-01-28
04751741,05713075,1976-08-09
04654357,05681124,1976-04-28
04648364,05181185,1971-09-16
04751002,90000768,1985-04-26
04751002,90001094,1986-09-24
04648053,90000143,1982-01-26
04752794,06248777,1981-03-30
04752794,06541845,1983-10-14
04752794,06678970,1984-12-06
04752794,07021384,1987-03-03
04754966,05282301,1972-08-23
04754966,05282302,1972-08-23
04754738,05854404,1977-11-23
04754738,06605760,1984-08-14
04754738,90001586,1988-08-25
04757137,05255604,1972-05-22
04757137,06027969,1979-04-09
04757137,06411065,1982-08-24
04648276,90001192,1987-03-12
04761045,05193393,1971-10-28
04761045,05443256,1974-02-19
04762989,90000956,1986-02-11
04640604,90000786,1985-05-20
04763819,06124041,1980-02-25
04639861,05816505,1977-07-18
04636136,06216920,1980-12-16
04634347,90000130,1981-12-24
04764577,05579751,1975-05-21
04762120,90000015,1981-07-01
04762120,05882821,1978-03-02
04762120,06203840,1980-11-04
04762618,90000054,1981-08-12
04773976,90000522,1984-03-07
04773056,05518450,1974-10-29
04773056,90002115,1990-08-24
04773056,90002284,1991-02-20
04776487,05765123,1977-02-03
04776487,05943195,1978-09-18
04772856,90000439,1983-08-30
04779089,90000751,1985-04-03
04779089,90001061,1986-07-29
04781590,05507814,1974-09-20
04780597,05303515,1972-11-03
04744601,90000094,1981-10-22
04787335,90000481,1983-12-14
04787607,06003560,1979-01-15
04786507,06200224,1980-10-23
04788501,05744365,1976-11-23
04788297,90000177,1982-03-22
04791868,06192172,1980-09-29
04794006,06009920,1979-02-06
04792569,90001215,1987-04-09
04721401,90002867,1992-10-29
04721401,90003288,1993-12-23
04721401,05950017,1978-10-10
04721401,90002868,1992-10-29
04721401,05912421,1978-06-05
04721401,06298744,1981-12-21
04721401,90002866,1992-10-29
04721401,90002869,1992-10-29
04721401,07576379,1990-08-31
04721401,08141200,1993-10-21
04721401,08141200,1993-10-21
04792382,05765614,1977-02-04
04720943,90000080,1981-10-05
04720503,90001053,1986-07-11
04800180,06157286,1980-06-06
04720406,05558674,1975-03-17
04805188,90000988,1986-04-17
04802018,05764433,1977-01-31
04802018,06462374,1983-01-31
04802018,07400517,1989-08-30
04802018,06462374,1983-01-31
04710517,05546865,1975-02-03
04710517,06506149,1983-06-20
04710517,06643883,1984-08-24
04710517,06921268,1986-10-21
04710517,07376378,1989-07-07
04710517,07610822,1990-11-08
04710517,07696747,1991-05-07
04710517,07930813,1992-08-14
04710517,90003066,1993-05-24
04710517,07849297,1992-03-10
04710517,07955515,1992-10-02
04710517,90003519,1994-08-05
04710517,08472680,1995-06-07
04710517,07628373,1990-12-17
04701637,06248777,1981-03-30
04701637,06541845,1983-10-14
04701637,06678970,1984-12-06
04701637,07021384,1987-03-03
04809153,90000884,1985-10-11
04809153,90001095,1986-09-24
04812116,90000107,1981-11-12
04812370,05654700,1976-02-02
04812370,05937949,1978-08-30
04813385,05862194,1977-12-19
04813385,06539562,1983-10-06
04799045,06142269,1980-04-21
04799045,90001243,1987-05-12
04814722,05473991,1974-05-29
04816662,05790569,1977-04-25
04812530,05806312,1977-06-13
04813973,05721920,1976-09-09
04807300,90000766,1985-04-26
