application_number,child_application_number,child_filing_date
05535262,05604407,1975-08-13
05530205,06069363,1979-08-23
05535658,05764312,1977-01-31
05535658,05961893,1978-11-17
05535658,06304496,1981-09-22
05535658,06304500,1981-09-22
05529829,05827196,1977-08-23
05536006,05775987,1977-03-09
05536006,05775989,1977-03-09
05536312,05738060,1976-11-02
05535774,05710511,1976-08-02
05536533,06134142,1980-04-07
05536542,06033482,1979-04-26
05536248,05694813,1976-06-10
05536248,05900089,1978-04-26
05536248,06093944,1979-11-13
05537090,06052077,1979-06-25
05537090,06052078,1979-06-25
05537572,05785290,1977-04-06
05536719,05825190,1977-08-16
05538197,05738688,1976-11-04
05538218,06053141,1979-06-27
05538936,05727791,1976-09-29
05538292,05823983,1977-08-12
05538896,05797767,1977-05-17
05538896,05808956,1977-06-22
05538896,06031307,1979-04-18
05538896,06266000,1981-05-21
05538896,06401735,1982-07-26
05538896,06598700,1984-04-10
05535403,06316246,1981-10-29
05539105,05928145,1978-07-26
05538535,05839445,1977-10-05
05538535,06363892,1982-03-30
05538535,06428357,1982-09-29
05534731,06007626,1979-01-29
05534731,06335201,1981-12-28
05539681,05935828,1978-08-22
05539681,05954514,1978-10-25
05539681,06250459,1981-04-02
05534861,05734129,1976-10-20
05534861,06094814,1979-11-16
05539735,06498956,1983-05-27
05534942,06001633,1979-01-05
05534893,05746827,1976-12-02
05540251,05761595,1977-01-24
05533897,05828699,1977-08-29
05540470,05701712,1976-07-01
05540470,05830931,1977-09-06
05540470,06254611,1981-04-16
05540794,06092359,1979-11-08
05540444,05942885,1978-09-15
05540444,05961479,1978-11-16
05540499,05839145,1977-10-03
05540051,05653403,1976-01-29
05540051,06193553,1980-10-03
05540051,06420755,1982-09-21
05540051,06467579,1983-02-17
05540051,06740119,1985-05-31
05541762,05908467,1978-05-22
05541762,06200322,1980-10-24
05541883,06223376,1981-01-08
05541883,06576165,1984-02-01
05540348,06305441,1981-09-25
05539637,90000085,1981-10-14
05542449,06045381,1979-06-04
05542055,05743291,1976-11-18
05542055,06320925,1981-11-13
05542180,90001210,1987-04-06
05542578,05868897,1978-01-12
05542654,05685512,1976-05-12
05542993,05843322,1977-10-18
05543073,05836047,1977-09-23
05543240,05814940,1977-07-05
05538980,05777271,1977-03-11
05538980,06001660,1979-01-08
05538708,90000128,1981-12-21
05543563,06075344,1979-09-13
05543552,06036644,1979-05-07
05538891,06108899,1979-12-31
05538891,06109001,1979-12-31
05538083,05706522,1976-07-19
05537679,06078940,1979-09-26
05537679,06079056,1979-09-26
05537679,06328242,1981-12-07
05543069,06425746,1982-09-28
05543069,06425768,1982-09-28
05543069,06425799,1982-09-28
05543069,06425800,1982-09-28
05543795,06152531,1980-05-22
05543795,06760539,1985-07-30
05537085,06080143,1979-09-28
05544196,05751190,1976-12-14
05543106,05809258,1977-06-23
05536363,06003001,1979-01-12
05535750,05850332,1977-11-10
05535750,06052539,1979-06-27
05535750,06227453,1981-01-22
05535750,06227454,1981-01-22
05535750,06232088,1981-02-06
05535750,06239867,1981-03-02
05535750,06466449,1983-02-15
05535750,06519781,1983-08-02
05535750,06625579,1984-06-28
05535750,06776084,1985-09-13
05535750,06874797,1986-06-13
05535750,07077848,1987-07-27
05535750,07236298,1988-08-23
05535750,07352687,1989-05-10
05535750,07579204,1990-09-04
05544807,05809963,1977-06-27
05544669,06034913,1979-04-24
05544669,06146413,1980-05-05
05544669,06391281,1982-06-23
05544669,06720898,1985-04-08
05544669,07039240,1987-04-17
05544393,90000533,1984-03-22
05544393,05853503,1977-11-21
05544393,90000545,1984-04-18
05545091,05954614,1978-10-25
05544275,06539640,1983-10-05
05544275,06920782,1986-10-20
05544275,07291535,1988-12-27
05544275,08440940,1995-05-15
05544275,07436378,1989-11-14
05544275,07737889,1991-07-25
05544275,07784612,1991-10-29
05544275,08039508,1993-03-29
05544275,08168274,1993-12-15
05544275,08292318,1994-08-19
05544275,08103348,1993-08-05
05544275,08368390,1994-12-30
05544239,05769397,1977-02-16
05544239,05936342,1978-08-24
05543860,06035397,1979-05-02
05545796,05672138,1976-03-31
05544427,05857208,1977-12-05
05544427,06203965,1980-11-04
05544427,06203966,1980-11-04
05544427,06582870,1984-02-27
05542971,05836626,1977-09-26
05542971,05941836,1978-09-11
05542971,06272811,1981-06-11
05542971,06509563,1983-06-30
05546909,05776918,1977-03-11
05542164,05625208,1975-10-23
05545846,06034083,1979-04-27
05547323,05858755,1977-12-08
05547353,05758779,1977-01-12
05547360,06017339,1979-03-05
05547360,06414875,1982-09-03
05547653,05793299,1977-05-03
05540109,05773216,1977-03-01
05540109,06006761,1979-01-26
05540109,06188343,1980-09-18
05540109,06385117,1982-06-04
05540981,06434125,1982-10-13
05547934,06219322,1980-12-22
05548506,05851924,1977-11-16
05548744,05798078,1977-05-18
05548157,05904868,1978-05-11
05548209,05830509,1977-09-06
05549128,05744849,1976-11-24
05549052,90002335,1991-05-01
05549330,06305216,1981-09-24
05548022,05762294,1977-01-25
05549541,05743690,1976-11-22
05549541,05896297,1978-04-14
05549085,05851744,1977-11-15
05549085,06287032,1981-07-27
05549707,05844373,1977-10-21
05549674,90001090,1986-09-17
05550069,06317957,1981-11-04
05550069,06492271,1983-05-06
05550069,06630171,1984-07-12
05550435,05672045,1976-03-30
05550435,06164175,1980-06-30
05550435,06234764,1981-02-17
05550435,06371444,1982-04-23
05550456,05856353,1977-12-01
05550456,06080110,1979-09-28
05550634,05727616,1976-09-28
05550634,05739139,1976-11-05
05550634,06031149,1979-04-18
05550634,06031150,1979-04-18
05550634,06276540,1981-06-23
05551430,05960026,1978-11-13
05547621,06109188,1980-01-03
05547465,06111326,1980-01-11
05547465,06525705,1983-08-23
05547409,06040089,1979-05-17
05547215,06004492,1979-01-18
05547318,05852004,1977-11-14
05546863,05912649,1978-06-05
05546863,05934236,1978-08-16
05546863,06293892,1981-08-18
05546838,06011596,1979-02-12
05546838,06241986,1981-03-09
05546835,05966526,1978-12-04
05546835,06219398,1980-12-22
05551613,05707760,1976-07-22
05551923,06190053,1980-09-23
05551923,06409425,1982-08-19
05552249,05944499,1978-09-21
05552551,05957992,1978-11-06
05552291,05757966,1977-01-10
05552403,05776444,1977-03-10
05552403,05776445,1977-03-10
05552403,05885526,1978-03-10
05552403,06077707,1979-09-21
05552403,06142560,1980-04-21
05552403,06288396,1982-07-30
05552403,06351884,1982-02-24
05553075,05852198,1977-11-17
05553075,05922799,1978-07-07
05553075,05852200,1977-11-17
05553075,06271645,1981-06-08
05553075,06288296,1981-07-30
05553075,06281883,1981-07-09
05553075,06538492,1983-10-03
05553566,05726177,1976-09-24
05553566,05726178,1976-09-24
05553471,05875329,1978-02-06
05553109,90000419,1983-07-14
05545322,06231032,1981-02-04
05544808,05827223,1977-08-24
05544808,05882814,1978-03-02
05544808,05883123,1978-03-03
05554400,06579256,1984-02-13
05554372,06200302,1980-10-24
05554372,06255202,1981-04-20
05554372,06503923,1983-06-13
05554372,06607909,1984-05-07
05554372,06905088,1986-09-08
05554743,05891079,1978-03-29
05555529,05926716,1978-07-21
05553050,05909077,1978-05-24
05556270,05683534,1976-05-05
05556367,05900351,1978-04-26
05552749,90000759,1985-04-12
05556288,05836417,1977-09-26
05556288,06214876,1980-12-10
05556288,06397782,1982-07-13
05556288,06397783,1982-07-13
05556288,06397784,1982-07-13
05556288,06397785,1982-07-13
05552284,05874660,1978-02-02
05557227,05743414,1976-11-19
05557227,06082111,1979-10-05
05557227,06358042,1982-03-15
05552080,05746027,1976-11-30
05552080,90000469,1983-11-18
05556836,05772152,1977-02-25
05556836,05956519,1978-10-31
05556836,06002921,1979-01-11
05556836,06116065,1980-01-28
05551651,05811951,1977-06-30
05557376,05809944,1977-06-24
05557476,05859932,1977-12-12
05557476,05885183,1978-03-10
05557612,05759159,1977-01-13
05557612,06020105,1979-03-12
05551483,05746927,1976-12-02
05551483,05962425,1978-11-20
05551483,06023971,1979-03-26
05558495,90000237,1982-08-04
05558425,06321999,1981-11-16
05550467,05900616,1978-04-27
05550432,05922799,1978-07-07
05550432,05852200,1977-11-17
05550432,06271645,1981-06-08
05550432,06288296,1981-07-30
05550432,06281883,1981-07-09
05550432,06538492,1983-10-03
05558187,05926675,1978-07-21
05558187,05942247,1978-09-14
05558187,06059914,1979-07-23
05558187,06118823,1980-02-05
05558187,06118826,1980-02-05
05558187,06328763,1981-12-08
05558187,06350652,1982-02-22
05558187,06429917,1982-09-30
05558187,06266273,1981-05-22
05558187,06357437,1982-03-12
05558187,06538004,1983-09-30
05550109,05889993,1978-03-24
05558654,06118312,1980-02-04
05558840,05715863,1976-08-19
05558840,06060028,1979-07-23
05558807,05772003,1977-02-25
05558807,05839328,1977-10-04
05558807,05928456,1978-07-27
05558807,06063108,1979-08-02
05558807,06076125,1979-09-17
05558940,05724247,1976-09-17
05558682,05838083,1977-09-30
05558682,05844832,1977-10-25
05558682,06132101,1980-03-20
05558682,06199824,1980-10-23
05558682,06334658,1981-12-28
05558682,06442443,1982-11-17
05558682,06691757,1985-01-15
05559011,05935958,1978-08-23
05559018,06241308,1981-03-06
05549810,05765123,1977-02-03
05559107,05834347,1977-09-19
05559107,05872181,1978-01-25
05559107,05957948,1978-11-06
05559158,05837233,1977-09-27
05549706,05844373,1977-10-21
05549426,05920485,1978-06-29
05559544,06458116,1983-01-14
05559209,05733567,1976-10-18
05559431,06197371,1980-10-15
05553725,90002165,1990-10-12
05560143,05930658,1978-08-02
05560290,05934912,1978-08-18
05558324,06058983,1979-07-20
05558324,06099265,1980-02-25
05558324,06596767,1984-04-04
05558324,06296701,1981-08-27
05558324,06405637,1982-08-05
05558324,06909401,1986-09-19
05558324,06913122,1986-09-29
05560607,05907962,1978-05-22
05560675,05814573,1977-07-11
05560675,05949286,1978-10-06
05560676,05814583,1977-07-11
05560676,06058233,1979-07-16
05560244,90003748,1995-03-14
05560771,05766549,1977-02-07
05560771,06087146,1979-10-22
05560771,06087147,1979-10-22
05561595,06003483,1979-01-15
05561733,06060162,1979-07-24
05561119,05708956,1976-07-26
05561119,06287539,1981-06-22
05561119,06010568,1979-02-09
05561119,06526195,1983-08-25
05561119,06526300,1983-08-25
05561119,06252533,1981-04-09
05560849,06106317,1979-12-21
05561937,06024009,1979-03-26
05557973,05808288,1977-06-20
05556780,05934210,1978-08-16
05556780,05935152,1978-08-21
05562086,05884333,1978-03-07
05562587,06133339,1980-03-24
05562587,06325706,1981-11-30
05562648,05746002,1976-11-30
05556749,05654662,1976-02-05
05556749,06502066,1983-06-07
05557130,05889565,1978-03-23
05562898,05907902,1978-05-22
05562651,06140656,1980-04-15
05562651,06461169,1983-01-26
05562735,05754011,1976-12-23
05563462,06072666,1979-09-05
05563389,05906745,1978-05-17
05556200,05760828,1977-01-21
05556200,06048187,1979-06-13
05556200,06119786,1980-02-08
05563463,06116082,1980-01-28
05563463,06354071,1982-03-02
05563463,06682814,1984-12-18
05563623,05900720,1978-04-27
05563623,06111365,1980-01-11
05563623,05954982,1978-10-26
05555037,06148052,1980-05-08
05554476,05753360,1976-12-22
05553361,06236891,1981-02-23
05564343,05829264,1977-08-31
05564343,06412875,1982-08-30
05564403,05853701,1977-11-21
05564204,06234009,1981-02-12
05564518,05967676,1978-12-08
05564777,05724421,1976-09-14
05564777,06057223,1979-07-13
05564700,05786087,1977-04-11
05565017,05958943,1978-11-08
05563740,06014833,1979-02-26
05563778,05910421,1978-05-30
05563778,06109097,1980-01-02
05563778,06604728,1984-04-27
05563778,06786727,1985-10-15
05563778,07585027,1990-09-18
05563778,07807410,1991-12-12
05563778,08143348,1993-10-26
05563778,08409537,1995-03-24
05563778,08480152,1995-06-07
05563778,08485631,1995-06-07
05561771,90001138,1986-12-05
05563882,05770128,1977-02-18
05563249,05822506,1977-08-08
05563249,05822507,1977-08-08
05563249,06140410,1980-04-14
05563249,06278437,1981-06-24
05563249,06355641,1982-03-08
05563068,05656416,1976-02-09
05563068,05920260,1978-06-29
05563045,06095811,1979-11-19
05566004,06090004,1979-10-31
05566004,06193520,1980-10-02
05566004,06582384,1984-02-22
05566096,05792500,1977-05-02
05566167,05825875,1977-08-19
05566227,05789941,1977-04-22
05566270,06072079,1979-09-04
05566270,06643547,1984-08-23
05566254,05903319,1978-05-05
05566254,06072206,1979-09-04
05564725,05812834,1977-07-05
05562043,05943857,1978-09-19
05562043,06257643,1981-04-27
05566277,06320188,1981-11-12
05567091,05672785,1976-04-01
05561537,05799730,1977-05-23
05559880,05834292,1977-09-19
05560616,06046254,1979-06-07
05566714,06084358,1979-10-12
05566714,06084357,1979-10-12
05566714,06275361,1981-06-19
05560432,05754803,1976-12-27
05566911,05791497,1977-04-27
05566911,05812684,1977-07-05
05566911,05924699,1978-07-14
05560193,05659082,1976-02-18
05567397,05796896,1977-05-16
05567397,05927400,1978-07-24
05567397,06020628,1979-03-15
05567397,06046103,1979-06-06
05567397,06219497,1980-12-23
05567397,07245894,1988-09-19
05559895,06487089,1983-04-21
05559949,05805679,1977-06-13
05559949,05934109,1978-08-16
05568207,06152433,1980-05-22
05568279,05939213,1978-09-05
05568499,05914660,1978-06-12
05568759,06119601,1980-02-07
05569150,05825103,1977-08-16
05568699,06271374,1981-06-08
05568699,06046240,1979-06-07
05568699,06250172,1981-04-02
05568699,06154423,1980-05-29
05568699,06184655,1980-09-05
05569679,05922719,1978-07-07
05569607,05786301,1977-03-08
05568139,05603432,1975-08-11
05569478,06240135,1981-03-03
05569478,06598366,1984-04-09
05569478,06748731,1985-06-25
05569478,06910820,1986-09-23
05569478,07151472,1988-02-02
05569478,07353147,1989-05-12
05569871,06303105,1981-09-17
05569871,07782789,1991-10-24
05569871,07880581,1992-05-08
05570382,06199524,1980-10-22
05570106,06017012,1979-03-02
05570713,05691591,1976-06-01
05570376,06277613,1981-06-24
05570766,06077729,1979-09-21
05570766,06077730,1979-09-21
05570766,06320066,1981-11-10
05570766,06560239,1983-12-12
05570766,07048077,1987-05-11
05571084,90001533,1988-06-15
05571037,05652452,1976-01-26
05567148,06423752,1982-09-27
05571285,06121674,1980-02-15
05571486,05884774,1978-03-08
05571479,05841608,1977-10-12
05571479,05915873,1978-06-15
05571479,06047818,1979-06-12
05566019,05655938,1976-02-06
05565885,05777496,1977-03-14
05571886,05836767,1977-09-26
05571695,05875071,1978-02-03
05571695,90000655,1984-10-24
05571695,90001323,1987-09-03
05571695,90001338,1987-09-23
05565738,05875086,1978-02-03
05565425,05652868,1976-01-27
05565425,05940323,1978-09-07
05565616,05875582,1978-02-06
05572058,05851619,1977-11-14
05572058,90000793,1985-06-05
05572500,05876584,1978-02-10
05572500,05876584,1978-02-10
05572500,06208714,1980-11-20
05572660,05817553,1977-07-21
05572660,06011770,1979-02-13
05572660,06244852,1981-03-18
05572660,06354630,1982-03-04
05572660,06463671,1983-02-04
05565389,05859069,1977-12-09
05572900,90001134,1986-12-03
05565045,05674219,1976-04-06
05565045,06205348,1980-11-10
05565045,06298364,1981-09-01
05565045,06530650,1983-09-09
05565045,06574628,1984-01-27
05565045,06812989,1985-12-24
05572167,05934322,1978-08-16
05572167,06651042,1984-09-14
05572167,06873075,1986-06-02
05572167,07187933,1988-04-29
05572167,07310837,1989-02-14
05572167,07460289,1990-01-03
05572167,07588026,1990-09-25
05572167,07710141,1991-06-04
05572167,90004382,1996-09-23
05572167,07785504,1991-10-30
05564701,05786087,1977-04-11
05564807,06179044,1980-08-18
05573338,06207805,1980-11-17
05573338,06676794,1984-11-30
05573338,06818545,1986-01-13
05573696,06151082,1980-05-19
05573696,06685289,1984-12-24
05573696,06689620,1985-01-08
05573970,05948820,1978-10-05
05573853,06049060,1979-06-18
05574225,05821386,1977-08-03
05574225,06020293,1979-03-14
05573914,06284200,1981-07-17
05574333,05813250,1977-07-06
05574333,06118768,1980-02-05
05574300,06206369,1980-11-13
05574529,06095535,1979-11-19
05574529,06335805,1981-12-30
05574529,06659227,1984-10-09
05572008,05894836,1978-04-10
05572008,05894838,1978-04-10
05572008,06084867,1979-10-15
05572008,06050620,1979-06-21
05572008,06050681,1979-06-21
05572008,06084866,1979-10-15
05572008,06292715,1981-08-13
05572008,06817464,1986-01-09
05572008,06817535,1986-01-09
05572008,06067801,1979-08-20
05572008,06131881,1980-03-20
05572008,07233539,1988-08-18
05572008,07420693,1989-10-11
05572908,06051983,1979-06-25
05572865,05755743,1976-12-30
05572143,05765597,1977-02-04
05575341,05932758,1978-08-10
05575341,05955120,1978-10-26
05574979,05972088,1978-12-21
05574979,06059767,1979-07-20
05575418,05716049,1976-08-20
05571480,05929733,1978-07-31
05570958,06015754,1979-02-27
05570633,05911117,1978-05-31
05570194,06182031,1980-08-28
05570346,05661436,1976-02-25
05570346,06339093,1982-01-13
05576167,05830347,1977-09-02
05576126,05969727,1978-12-15
05576206,06461170,1983-01-26
05569803,06334559,1981-12-28
05569803,06654312,1984-09-25
05576308,05748655,1976-12-08
05576349,05857234,1977-12-05
05576349,90001918,1989-12-27
05576313,05877166,1978-02-13
05576313,06009483,1979-02-05
05576313,06009594,1979-02-05
05576313,06147084,1980-05-07
05576313,06243031,1981-03-12
05576862,05826834,1977-08-22
05569741,05817052,1977-07-19
05569741,07773498,1991-10-09
05569741,08449525,1995-05-24
05577402,05938849,1978-09-01
05569608,05757286,1977-01-06
05569493,05856249,1977-12-01
05569493,07415453,1989-09-29
05568824,05854003,1977-11-22
05577534,05938974,1978-09-01
05576981,05755738,1976-12-30
05576981,06104571,1979-12-17
05576981,06234315,1981-02-13
05576981,06000687,1979-01-03
05576981,06306590,1981-09-28
05576981,06548937,1983-11-07
05568864,05618779,1975-10-02
05576915,05764247,1977-01-31
05577924,05914766,1978-06-12
05578061,05884084,1978-03-06
05576031,06130032,1980-03-13
05576858,05857526,1977-12-05
05576858,05857527,1977-12-05
05576858,06207738,1980-11-17
05578169,06309834,1981-10-08
05578169,06453148,1982-12-27
05578169,07014927,1987-02-13
05578169,07505717,1990-04-06
05578169,07296665,1989-01-13
05578318,06828820,1986-02-12
05578416,05859143,1977-12-09
05578439,05911738,1978-06-02
05578557,90000334,1983-03-01
05579012,05842108,1977-10-14
05579012,06104106,1979-12-17
05579559,06181959,1980-08-28
05579639,05768503,1977-02-14
05579815,05818577,1977-07-25
05579906,05727791,1976-09-29
05579911,05808331,1977-06-20
05579330,06037491,1979-05-10
05580010,05883017,1978-03-03
05580350,05799547,1977-05-23
05580307,06185512,1980-09-09
05580307,06310420,1981-10-09
05575680,06285179,1981-07-20
05575680,06094391,1979-10-10
05580351,06073273,1979-09-07
05580351,06138727,1980-04-09
05580351,06293231,1981-08-17
05575309,05890560,1978-03-20
05575309,06400817,1982-07-22
05575309,07428816,1989-10-27
05575309,07650154,1991-02-04
05575309,07812883,1991-12-20
05575309,08035006,1993-03-22
05575438,05901085,1978-04-28
05580398,06216801,1980-12-15
05575403,05815671,1977-07-14
05575328,06199836,1980-10-23
05574676,05805435,1977-06-10
05574676,05848962,1977-11-07
05574676,06017672,1979-03-05
05574676,06017674,1979-03-05
05574676,06017788,1979-03-05
05574676,06017789,1979-03-05
05574676,06017790,1979-03-05
05580513,05786201,1977-04-11
05580513,90002512,1991-11-20
05580865,05957609,1978-11-03
05581045,06155997,1980-06-03
05581094,05767388,1977-02-10
05581094,06074122,1979-09-14
05581094,06162240,1980-06-30
05581139,05838990,1977-10-03
05574818,05775331,1977-03-02
05581203,05814815,1977-07-11
05581203,06052966,1979-06-28
05581324,06013648,1979-02-21
05581050,06379551,1982-05-18
05581050,06379466,1982-05-18
05581050,06507718,1983-06-23
05581050,06507166,1983-06-23
05581050,06507721,1983-06-23
05581050,07601459,1990-10-23
05581050,06680142,1984-12-10
05581050,06680288,1984-12-10
05581050,07863326,1992-04-02
05581050,07120241,1987-11-02
05581050,07122481,1987-11-10
05581050,07887383,1992-05-21
05581294,05765182,1977-02-03
05581294,06187676,1980-09-16
05581336,05814610,1977-07-11
05581310,05838696,1977-10-03
05581541,05767644,1977-02-10
05581373,06476775,1983-03-18
05574433,05944979,1978-09-22
05580874,05891950,1978-03-30
05573615,05911933,1978-06-02
05574090,06044307,1979-05-31
05574090,07304867,1989-01-30
05574090,07593321,1990-10-02
05581711,05829222,1977-08-31
05573545,05962977,1978-11-22
05573545,06005311,1979-01-22
05573545,06109997,1980-01-07
05573545,06358230,1982-03-15
05582079,05870210,1978-01-17
05581951,05811595,1977-06-30
05582272,05969112,1978-12-13
05582353,05835319,1977-09-21
05581374,06280845,1981-07-06
05582406,06032886,1979-04-24
05582338,05802889,1977-06-02
05582338,06265432,1981-05-20
05583008,06748414,1985-06-24
05583001,05843099,1977-10-17
05581037,06201909,1980-10-29
05580614,05798847,1977-05-20
05580414,06007584,1979-01-29
05580414,06462374,1983-01-31
05580414,07400517,1989-08-30
05583247,05860457,1977-12-14
05583247,06050648,1979-06-21
05583247,05893825,1978-04-05
05583247,05908829,1978-05-23
05583247,06227209,1981-01-22
05583454,90001190,1987-03-19
05583454,90001388,1987-12-03
05583709,05626993,1975-10-29
05583773,05887347,1978-03-16
05583739,05829770,1977-09-01
05583739,06096118,1979-11-20
05583456,06105648,1979-12-20
05583456,06136992,1980-04-03
05583456,06163098,1980-06-26
05583891,05683461,1976-05-13
05580083,05758230,1977-01-10
05584419,05968848,1978-12-12
05579948,05721705,1976-09-09
05579861,05811974,1977-06-30
05579861,06225366,1981-01-15
05584808,05963500,1978-11-24
05579308,05801845,1977-05-31
05579252,05879759,1978-02-21
05584464,05823149,1977-08-09
05584464,06257577,1981-04-27
05584464,06257885,1981-04-27
05584464,06054268,1979-07-02
05584464,06288118,1981-07-29
05584464,06425295,1982-09-28
05584464,06430520,1982-09-30
05584464,06646026,1984-08-29
05584464,06765174,1985-08-12
05584464,07230657,1988-08-09
05584464,07399424,1989-08-23
05578863,05871406,1978-01-23
05578863,06118326,1980-02-04
05585028,06393705,1982-06-30
05577836,06163411,1980-06-26
05577836,06545770,1983-10-26
05577836,07527948,1990-05-23
05577836,07897483,1992-06-12
05585426,90000600,1984-08-03
05585048,90001577,1988-08-12
05578136,06394463,1982-07-01
05585706,06185220,1980-09-08
05585866,06008110,1979-01-31
05585604,06022852,1979-03-22
05585413,05863559,1977-12-22
05586011,05779020,1977-03-11
05586259,05890233,1978-03-27
05586529,05887604,1978-03-17
05586677,05873446,1978-01-30
05586121,05792756,1977-05-02
05586121,06291699,1981-08-10
05586121,07164742,1988-03-07
05586121,07358223,1989-05-26
05586744,05931899,1978-08-08
05586861,90000003,1981-07-01
05586948,05899235,1978-04-24
05587147,90000126,1981-12-18
05587011,05767232,1977-02-28
05587346,06030340,1979-04-16
05584439,06165577,1980-07-03
05584086,05765169,1977-02-03
05584086,06110430,1980-01-07
05584312,05917703,1978-06-21
05583697,06317883,1981-11-03
05583697,06867626,1986-05-27
05583697,07185284,1988-04-18
05583697,07403473,1989-09-06
05583697,07819587,1992-01-09
05583697,07899169,1992-06-15
05583697,08000560,1993-01-04
05583697,08154719,1993-11-19
05583455,05747023,1976-12-02
05583455,05747024,1976-12-02
05583455,05915062,1978-06-12
05583455,06174919,1980-08-04
05583455,06178734,1980-08-18
05588228,05860457,1977-12-14
05588228,05893825,1978-04-05
05588228,05908829,1978-05-23
05588228,06227209,1981-01-22
05588096,05746285,1976-12-01
05588096,05746287,1976-12-01
05588096,05746288,1976-12-01
05588096,05746289,1976-12-01
05588096,05746290,1976-12-01
05588096,05746356,1976-12-01
05588423,05788140,1977-04-18
05582946,05853780,1977-11-21
05588755,05907362,1978-05-18
05588823,06202073,1980-10-30
05589522,05843601,1977-10-19
05583072,06065028,1979-08-09
05582883,05787375,1977-04-14
05582883,06015411,1979-02-26
05582883,06348297,1982-02-12
05582428,05948297,1978-10-03
05582428,06150288,1980-05-16
05582428,06192488,1980-09-30
05589521,05781298,1977-03-25
05589599,06092956,1979-11-09
05589599,06403413,1982-07-30
05589599,06403428,1982-07-30
05581788,05822380,1977-08-05
05581788,06095956,1979-11-20
05589993,05853663,1977-11-21
05589816,05855119,1977-11-28
05590427,05911035,1978-05-30
05590511,05770990,1977-02-22
05590511,06171730,1980-07-24
05590511,06323711,1981-11-23
05589167,05868006,1978-01-09
05589305,05902618,1978-05-04
05589305,06365732,1982-04-05
05590664,05896547,1978-04-14
05590664,05951801,1978-10-16
05590655,05966527,1978-12-04
05590752,90001784,1989-06-13
05590936,05760831,1977-01-21
05590989,05814249,1977-07-08
05591220,05880666,1978-02-23
05591558,06285418,1981-07-20
05591601,05758309,1977-01-10
05591601,06073944,1979-09-07
05587724,05709532,1976-07-28
05587724,06070491,1979-08-28
05587700,05859943,1977-12-12
05587526,06047593,1979-06-08
05587526,06320791,1981-11-12
05587526,06644075,1984-08-24
05587526,06812497,1985-12-23
05591624,90000893,1985-11-01
05591536,05717514,1976-08-25
05591536,06040302,1979-05-18
05591536,06136033,1980-03-31
05591536,06136156,1980-03-31
05591536,06349920,1982-02-18
05591536,06488597,1983-04-22
05591536,07093186,1987-09-04
05591536,07169230,1988-03-16
05591853,05882262,1978-02-28
05587385,05767781,1977-02-11
05586138,05839180,1977-10-04
05586138,05859476,1977-12-12
05586138,05949863,1978-10-10
05586138,05969355,1978-12-14
05586138,05941596,1978-09-12
05586138,06133098,1980-03-24
05586138,06290819,1981-08-07
05586138,06292635,1981-08-13
05591386,05731255,1976-10-12
05591386,05766279,1977-02-07
05591386,06037802,1979-05-10
05592368,06010731,1979-02-09
05592368,06218952,1980-12-22
05585817,05833295,1977-09-14
05585817,05919722,1978-06-27
05585817,05949422,1978-10-04
05585817,05949423,1978-10-04
05592821,05731814,1976-10-12
05592673,06010261,1979-02-07
05592636,05726195,1976-09-24
05592636,06143797,1980-04-25
05592636,06756555,1985-07-17
05592941,05734082,1976-10-20
05592941,06030312,1979-04-16
05593293,06297931,1981-08-31
05593250,06040184,1979-05-18
05593250,06239583,1981-03-02
05593250,06773853,1985-09-09
05593474,06037181,1979-05-07
05593697,05781102,1977-03-25
05593697,06177283,1980-08-11
05593379,05826236,1977-08-19
05593992,05845947,1977-10-27
05594018,05743340,1976-11-19
05592611,05886137,1978-03-13
05592611,06005956,1979-01-24
05592611,06078775,1979-09-25
05592555,05922742,1978-07-07
05592497,05912822,1978-06-05
05592273,06382724,1982-05-27
05592273,07224707,1988-07-27
05592273,07351298,1989-05-11
05592474,05872765,1978-01-27
05592057,06078439,1979-09-24
05592057,90000432,1983-08-08
05593831,05708061,1976-07-23
05593831,05708226,1976-07-23
05591840,06204293,1980-11-05
05594372,06109697,1980-01-04
05591712,05826928,1977-08-22
05591443,05750701,1976-12-15
05591443,06054788,1979-07-05
05594893,90000437,1983-08-24
05591233,05733357,1976-10-18
05591233,05733358,1976-10-18
05591233,05952067,1978-10-17
05591233,06061273,1979-07-27
05595175,05881668,1978-02-27
05591501,06320929,1981-11-13
05595094,05741043,1976-11-11
05595094,05679431,1976-04-22
05595094,06393772,1982-06-30
05595094,06393628,1982-06-30
05595326,05881635,1978-02-27
05595628,90002187,1990-10-31
05595869,05774082,1977-03-03
05595833,05754220,1976-12-27
05595833,06258356,1981-04-28
05595833,06003448,1979-01-15
05595569,06634036,1984-07-24
05595896,05740662,1976-11-10
05595985,05787238,1977-04-13
05595986,05890881,1978-03-27
05595986,06079028,1979-09-26
05595986,06323613,1981-11-20
05596111,06030183,1979-04-16
05590532,05830232,1977-09-02
05596256,06018253,1979-03-07
05596129,06022395,1979-03-21
05590332,05837935,1977-09-29
05590447,06114821,1980-01-24
05590447,06458195,1983-01-17
05590447,06657047,1984-10-02
05588247,05725490,1976-10-28
05588247,06028539,1979-04-09
05588247,06137248,1980-04-04
05588247,06260201,1981-05-04
05588247,06310948,1981-10-13
05588247,06327998,1981-12-07
05588247,06327999,1981-12-07
05588247,06328035,1981-12-07
05588247,06328445,1981-12-07
