application_number,pto_delay_a,pto_delay_b,pto_delay_c,overlap_pto_delay,nonoverlap_pto_delay,pto_manual_adjustment,applicant_delay,patent_term_adjustment
08489330,0,0,0,0,32,0,120,0
08489635,0,0,0,0,0,0,0,0
08489920,0,0,0,0,0,0,110,0
08448539,0,0,0,0,0,0,162,0
08490645,0,0,0,0,9,0,54,0
08492445,0,0,0,0,0,0,447,0
08492960,0,0,0,0,0,0,0,0
08493442,0,0,0,0,0,0,0,0
08493614,0,0,0,0,0,0,0,0
08493739,0,0,0,0,0,0,85,0
08403826,0,0,0,0,0,0,0,0
08496121,0,0,0,0,0,0,120,0
08498845,0,0,0,0,0,0,0,0
08498876,0,0,0,0,0,0,0,0
08498749,145,780,0,0,925,0,278,647
08499442,335,0,0,0,335,0,170,165
08500231,0,0,0,0,0,0,0,0
08500564,0,0,0,0,0,0,386,0
08501307,0,0,0,0,0,0,0,0
08501564,0,0,0,0,0,0,236,0
08387864,0,0,0,0,0,0,62,0
08501945,0,0,0,0,0,0,221,0
08505012,0,0,0,0,5,0,120,0
08506131,0,0,0,0,0,0,18,0
08507983,0,0,0,0,0,0,0,0
08508408,0,0,0,0,0,0,3,0
08508541,306,0,0,0,306,0,290,16
08508696,45,0,0,0,45,0,212,0
08509660,0,0,0,0,10,0,181,0
08509667,0,0,0,0,66,0,120,0
08481336,0,0,0,0,0,0,55,0
08510521,380,0,0,0,380,0,348,32
08511028,0,0,0,0,0,0,0,0
08511076,0,0,0,0,0,0,146,0
09562360,0,0,0,0,0,0,64,0
08511740,0,0,0,0,0,0,62,0
08511999,0,0,0,0,0,0,90,0
08512646,0,0,0,0,0,0,301,0
08513328,0,0,0,0,0,0,0,0
08514096,0,0,0,0,0,0,0,0
08515057,353,0,0,0,353,0,1085,0
08515068,0,0,0,0,0,0,0,0
08515767,0,0,0,0,0,0,0,0
08507362,0,0,0,0,0,0,212,0
08516171,0,0,0,0,0,0,0,0
08516259,0,0,0,0,0,0,137,0
08517474,0,0,0,0,0,0,0,0
08518110,0,0,0,0,8,0,181,0
08518051,171,43,0,0,214,0,400,0
08520373,3,0,0,0,3,0,316,0
08492108,0,0,0,0,0,0,267,0
08520620,0,0,0,0,75,0,125,0
08521272,0,0,0,0,0,0,6,0
08524166,0,0,0,0,46,0,264,0
08522067,0,0,0,0,4,-4,0,0
08522123,0,0,0,0,0,0,49,0
08523004,427,0,949,86,1290,0,567,723
08523994,0,0,0,0,0,0,78,0
08524407,0,0,0,0,79,0,255,0
08525289,25,0,0,0,25,0,298,0
08526339,169,0,0,0,169,0,0,169
08527126,76,0,0,0,76,0,176,0
08527806,4,0,0,0,4,0,167,0
08528247,0,0,0,0,0,0,120,0
08528828,0,0,0,0,0,0,97,0
08529055,235,0,0,0,235,0,75,160
08529166,0,0,0,0,0,0,330,0
08529354,963,0,0,0,963,0,3,960
08531152,0,0,0,0,43,0,120,0
08531204,0,0,0,0,0,0,116,0
08530661,78,0,0,0,78,0,360,0
08531273,0,0,0,0,0,0,5,0
08531669,0,0,0,0,0,0,110,0
08532240,0,0,0,0,0,0,0,0
08532457,0,0,0,0,0,0,93,0
08532976,0,0,0,0,0,0,0,0
08533075,132,0,0,0,132,0,143,0
08533061,117,0,0,0,117,0,249,0
