application_number,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_city_name,inventor_region_code,inventor_country_code
09485079,ERWIN,,WEH,1,,,
09485501,JUDITH,A,RUFFNER,1,,,
09485635,RICHARD,JOHN,WAKELIN,1,,,
09485705,GREGORY,JOHN,RUSSELL-JONES,1,,,
09485840,ANDREAS,,HERP,1,,,
09402298,MATTINS,,HEDREN,1,,,SE
09402829,DONALD,E,BROOKS,1,,,
09485949,JEAN-CHRISTOPHE,,BONNAIN,1,,,
09486003,BERND,,HURTGEN,1,,,
09402037,KENNETH,,LOCASALE,1,,,US
09381036,DAVID,JOHN,CALDERWOOD,1,NOTTINGHAM,GB,GB
09381036,DAVID,NORMAN,JOHNSTON,2,NOTTINGHAM,GB,GB
09381036,PAUL,,RAFFERTY,3,NOTTINGHAM,GB,GB
09381036,HELEN,LOUISE,TWIGGER,4,NOTTINGHAM,GB,GB
09381036,RAINER,,MUNSCHAUER,5,SHREWSBURY,MA,US
09381036,LEE,,ARNOLD,6,WESTBOROUGH,MA,US
09486119,ERHARD,,LORCH,1,WUSTENROT,,DE
09381522,THIERRY,,FURET,1,,,
09486479,RAYMOND,,YATES,1,,,
09381521,EUGENE,,MEILLAUD,1,,,
09486034,ERLING,,THOM,1,,,
09486284,JORGEN,ROGER,ANDERSEN,1,,,
09380241,DAVID,GEORGE,KNOWLES,1,,,GB
09486739,YI,,SUN,1,,,
09486626,BEHZAD,,MOHEBBI,1,,,
09486738,BEHZAD,,MOHEBBI,1,,,
09486952,SHEM-TOV,,LEVI,1,,,
09497531,Jean-Claude,,Bianchi,1,Residence,,XP
09486297,RUDI,HUBERTUS CAROLUS M,OP DEN CAMP,1,GELEEN,,NL
09486297,WILLEM,,BOS,2,GELEEN,,NL
09486361,RAM,,JACOBSON,1,,,
09486735,BEHZAD,,MOHEBBI,1,,,
09503319,Achim,,Breuer,1,Aachen,,DE
09486737,Marie-Francoise,,Schaff,1,Marange-Silvange,,FR
09486737,Brigitte,,Eberhart,2,Vitry-Sur-Orne,,FR
09486737,Alfred,,Schaff,3,Marange-Silvange,,FR
09486737,Laurence,,Schaff,4,Vitry-Sur-Orne,,FR
09486737,Didier,,Schaff,5,Marange-Silvange,,FR
09486737,Eric,,Schaff,6,Metz,,FR
09486737,Vincent,,Schaff,7,Metz,,FR
09486737,Marianne,,Schaff,8,Marange-Silvange,,FR
09380082,RAINER,,BLUM,1,,,
09367717,SUNE,,NYGREN,1,,,SE
09490948,George,,Krikorian,1,Redondo Beach,CA,
09490948,Hraztan,S.,Zeitlian,2,Los Angeles,CA,
09490948,Richard,Martin,Byrd,3,Covina,CA,
09487968,Hendrik,A.,Egeraat,1,Orebro,,SE
09487968,Jens,E.,Jacobsson,2,Arboga,,SE
09291759,RAFI,,HERSHTIG,1,SALISBURY,MD,US
09291759,RAYMOND,J.,DELARIO,2,SALISBURY,MD,US
09291759,RANDY,W.,HAMMER,3,BISHOPVILLE,MD,US
09291759,DAVID,L.,SPANN,4,SALISBURY,MD,US
09508590,Michael,Peter,Bond,1,,,
09508220,SHINGO,,ISOZAKI,1,,,
09508444,JAMES,RICHARD,HARTKE,1,,,
09508475,EDWARD,MARK,HARRIS,1,,,
09508380,FRANCESCO,,D'ERRICO,1,,,
09508184,EARL,C.,VICKERY,1,,,
09341258,CATHERINE,CLARE,BLACKBURN,1,,,GB
09341210,ALLAN,,FARBER,1,,,IL
09508479,SANDRA,,WITT-NUESSLEIN,1,,,
09508650,VLADIMIR,,KROTOV,1,,,
09508665,FRANK,,BEISSWENGER,1,,,
09284322,SHIGERU,,ISOHATA,1,TOKYO,,JP
09284322,TAKASHI,,HIBINO,2,AICHI,,JP
09284322,YOSHIYUKI,,OKADA,3,AICHI,,JP
09284322,AKIRA,,NAGAMINE,4,"TOYOTA, AICHI",,JP
09508811,WYATT,,PAUL,1,,,
09508817,WYATT,,PAUL,1,,,
09509176,BURKHART,,SCHRAVEN,1,,,
09508949,Thomas,J.,PACALA,1,Corona Del Mar,CA,US
09297464,LAWRENCE,JOHN,PENKLER,1,,,GB
09463807,CHRISTOPHER,R.,HEANLEY,1,GODALMING,,GB
09509107,WERNER,,GRUENWALD,1,,,
09509249,W,LEE,WEBSTER,1,,,
09284332,LEON,PAUL,KASS,1,,,US
09509240,RICHARD,,ISLES,1,,,
09254806,MICHAEL,E.M.,BECKER,1,KARLSRUHE,,DE
09269069,RENE,,GAUDREAULT,1,,,CA
09509867,JOHANNES,,DE BOER,1,,,
09509931,SERGEJ,,MATASOV,1,,,
09509990,PETER,S,MELENDY,1,,,
09529140,MARTIN,,HOTTNER,1,,,
09529230,STUCKI,JEAN,DANIEL,1,,,
09509632,ROBERT,W,BATZ,1,,,
09529301,STEVEN,P,PRIME,1,,,
09511839,Ali,R.,Rezai,1,New York City,NY,
09511839,Martin,,Zonenshayn,2,New York City,NY,
