application_number,event_code,recorded_date
04064835,SRCH,1990-01-26
04064835,LOST,1990-01-26
04064835,SRCH,1989-10-30
04064835,LOST,1989-10-17
04064835,TMOS,1989-06-16
04064835,SRCH,1989-06-14
04064835,SRCH,1989-05-15
04064835,LOST,1989-05-03
04064835,TMOS,1988-01-19
04064835,SRCH,1987-12-14
04064835,LOST,1987-12-08
04064835,LOST,1985-02-15
04064835,SRCH,1985-02-14
04102486,SETS,2001-09-20
04181278,SETS,2001-09-20
04181392,SETS,2001-09-20
04181392,TMOS,1996-04-11
04181392,SRCH,1996-03-11
04181392,LOST,1996-03-07
04181392,TMOS,1994-01-13
04181392,SRCH,1993-12-15
04181392,LOST,1993-12-07
04215999,SETS,2001-09-20
03626211,M2512,2001-10-30
03626211,LFRECON,2001-10-30
03626211,TMOS,2001-10-26
03626211,SRCH,2001-10-09
03626211,TMOS,2001-09-21
03626211,SETS,2001-09-20
03626211,SRCH,2001-08-28
03626211,TMOS,2001-08-28
03626211,SRCH,2001-07-26
03626211,TMOS,2001-06-29
03626211,SRCH,2001-06-08
03626211,TMOS,2001-03-27
03626211,SRCH,2001-03-05
03626211,TMOS,2001-02-14
03626211,SRCH,2001-01-24
03626211,TMOS,2001-01-24
03626211,SRCH,2000-12-15
03626211,TMOS,2000-12-01
03626211,SRCH,2000-10-25
03626211,TMOS,2000-09-15
03626211,SRCH,2000-08-15
03626211,TMOS,2000-06-12
03626211,SRCH,2000-06-12
03626211,TMOS,2000-05-18
03626211,SRCH,2000-05-18
03626211,LFLOST,2000-05-11
03626211,LOST,2000-04-26
03626211,SRCH,2000-04-21
03626211,TMOS,2000-04-14
03626211,LOST,2000-03-28
03626211,LOST,2000-03-28
03626211,SRCH,2000-03-15
03626211,LOST,2000-02-23
03626211,LOST,2000-02-04
03626211,TMOS,1999-10-19
03626211,SRCH,1999-10-04
03626211,LOST,1999-09-22
03626211,LOST,1999-09-21
03626211,SRCH,1999-09-20
03626211,TMOS,1999-09-17
03626211,LOST,1999-09-14
03626211,LOST,1999-09-07
03626211,SRCH,1999-09-07
03626211,LOST,1999-08-31
03626211,LOST,1999-08-27
03626211,LOST,1999-08-27
03626211,LOST,1999-08-23
03626211,SRCH,1999-08-19
03626211,LOST,1999-08-17
03626211,LOST,1999-08-13
03626211,TMOS,1999-08-10
03626211,SRCH,1999-08-09
03626211,LOST,1999-07-26
03626211,LOST,1999-07-19
03626211,SRCH,1999-07-12
03626211,SRCH,1999-07-12
03626211,LOST,1999-07-01
03626211,LOST,1999-06-21
03626211,TMOS,1999-06-01
03626211,LOST,1999-05-24
03626211,SRCH,1999-05-21
03626211,SRCH,1999-04-30
03626211,LOST,1999-04-13
03626211,LOST,1999-04-09
03626211,LOST,1999-04-06
